action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,1,-0.4,action = 4,0,,,,,,,,,,,,,,,
3,0,0.6,action = 3,1,,,,,,,,,,,,,,,
2,0,0.6,action = 2,2,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,3,,,,,,,,,,,,,,,
1,1,-0.4,action = 1,4,,,,,,,,,,,,,,,
0,1,-0.4,action = 0,5,0.56725,0.76956,0.34002,0.37543,0.69107,0.11704699910719625,0.0,0.12421755109484327,0.10300485425454473,0.06549809157525126,2.908189982143925,0.76956,2.8243710218968654,2.4355270850908948,2.001031831505025
0,1,-0.4,action = 0,6,0.63016,0.65869,0.39892,0.42305,0.66974,0.1777638883463118,0.1638596960817394,0.0,0.0,0.118490505948789,4.185437766926236,3.9358839216347876,0.39892,0.42305,3.03955011897578
4,1,-0.4,action = 4,7,0.7671,0.73249,0.31324,0.33036,0.71576,0.158871016865884,0.14149204924659195,0.07007139216541941,0.0,0.17703107071923843,3.9445203373176803,3.562330984931839,1.7146678433083882,0.33036,4.2563814143847685
4,0,0.6,action = 4,8,0.80752,0.78487,0.27364,0.31799,0.81505,0.19449935732541637,0.1616477652180815,0.0,0.1669431040804022,0.21118712081942875,4.697507146508327,4.017825304361629,0.27364,3.6568520816080436,5.038792416388575
0,1,-0.4,action = 0,9,0.70252,0.66477,0.45669,0.43182,0.56705,0.11379806676741042,0.09534149149242423,0.10899541274750969,0.11523888232710347,0.09513148795220225,2.9784813353482082,2.5715998298484846,2.636598254950194,2.7365976465420694,2.469679759044045
1,0,0.6,action = 1,10,0.77527,0.65455,0.42187,0.40571,0.58442,0.14401388821915753,0.16024980499208105,0.15066519173319365,0.12716131487209464,0.09994998749374609,3.6555477643831504,3.859546099841621,3.435173834663873,2.948936297441893,2.583419749874922
4,0,0.6,action = 4,11,0.69009,0.57213,0.44463,0.4512,0.54326,0.0,0.020248456731316585,0.04722287581247038,0.05118593556827891,0.06625707509390978,0.69009,0.9770991346263318,1.3890875162494076,1.4749187113655782,1.8684015018781954
0,0,0.6,action = 0,12,0.59103,0.52478,0.45725,0.4444,0.48794,0.12149074038789952,0.05282045058497703,0.07937253933193772,0.07273238618387273,0.05196152422706632,3.02084480775799,1.5811890116995406,2.0447007866387543,1.8990477236774548,1.5271704845413265
0,1,-0.4,action = 0,13,0.51868,0.51248,0.47508,0.46884,0.49376,0.05477225575051661,0.02258317958127243,0.055407580708780275,0.05394441583704471,0.035071355833500364,1.6141251150103322,0.9641435916254486,1.5832316141756055,1.547728316740894,1.1951871166700072
1,0,0.6,action = 1,14,0.58033,0.52492,0.44411,0.45059,0.50624,0.04626013402488151,0.049091750834534306,0.0,0.0,0.027748873851023214,1.5055326804976301,1.5067550166906862,0.44411,0.45059,1.0612174770204643
2,1,-0.4,action = 2,15,0.58548,0.54474,0.50266,0.49657,0.54474,0.0,0.0,0.0697853852894716,0.056833088953531286,0.0,0.58548,0.54474,1.8983677057894321,1.6332317790706257,0.54474
3,0,0.6,action = 3,16,0.55589,0.51248,0.49376,0.5,0.52497,0.0,0.00447213595499958,0.007745966692414834,0.03146426544510455,0.0,0.55589,0.6019227190999916,0.6486793338482967,1.129285308902091,0.52497
0,0,0.6,action = 0,17,0.5436,0.50624,0.48752,0.4564,0.48756,0.04722287581247038,0.026076809620810597,0.021447610589527218,0.033316662497915366,0.02345207879911715,1.4880575162494076,1.027776192416212,0.9164722117905444,1.1227332499583074,0.956601575982343
0,0,0.6,action = 0,18,0.51244,0.48756,0.47508,0.45655,0.5,0.041593268686170845,0.027018512172212593,0.0232379000772445,0.04,0.02683281572999748,1.344305373723417,1.0279302434442519,0.93983800154489,1.25655,1.0366563145999494
1,0,0.6,action = 1,19,0.47522,0.48147,0.48132,0.45035,0.4566,0.013784048752090222,0.020493901531919198,0.007071067811865475,0.0,0.0,0.7509009750418044,0.891348030638384,0.6227413562373095,0.45035,0.4566
3,0,0.6,action = 3,20,0.48752,0.4626,0.46884,0.45021,0.5,0.027018512172212593,0.0,0.010488088481701515,0.051575187832910506,0.030983866769659335,1.0278902434442518,0.4626,0.6786017696340303,1.4817137566582101,1.1196773353931868
4,0,0.6,action = 4,21,0.48127,0.4564,0.46265,0.40747,0.47508,0.01414213562373095,0.0,0.0,0.0,0.028982753492378877,0.764112712474619,0.4564,0.46265,0.40747,1.0547350698475775
2,1,-0.4,action = 2,22,0.48132,0.45645,0.4626,0.40779,0.44411,0.0,0.015491933384829668,0.027202941017470887,0.014832396974191326,0.0,0.48132,0.7662886676965934,1.0066588203494178,0.7044379394838265,0.44411
0,1,-0.4,action = 0,23,0.5,0.46884,0.49376,0.45021,0.46884,0.03301514803843836,0.0,0.021213203435596427,0.034496376621320685,0.019235384061671346,1.1603029607687672,0.46884,0.9180240687119285,1.1401375324264138,0.8535476812334268
3,0,0.6,action = 3,24,0.53721,0.47503,0.49376,0.45035,0.47508,0.03834057902536163,0.019493588689617928,0.03847076812334269,0.06074537019394976,0.03130495168499706,1.3040215805072326,0.8649017737923586,1.2631753624668538,1.6652574038789951,1.1011790336999412
4,0,0.6,action = 4,25,0.52487,0.46884,0.49376,0.39556,0.46884,0.019748417658131498,0.019235384061671346,0.028982753492378877,0.0,0.033166247903554,0.91983835316263,0.8535476812334268,1.0734150698475775,0.39556,1.13216495807108
