z_x,z_note,x_x,x_note,"p(y|x,D)_mean","p(y|x,D)_std","p(y|x,z,D)_mean","p(y|x,z,D)_std","H[p(y|x,D)]","Var[y|x,D]",Va,Ve,Va_variance,Ve_variance,yxz_std,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
2.3,x = 2.3,2.2,x = 2.2,-0.37999999999999995,1.0921945288678612,0.38180994449985695,0.8680476113014541,1.50713,1.19289,1.14834,0.35879000000000016,0.69364,0.49925,0.8017221260633555,0.44696294665373304,0.2887862691580436,48534
1.8,x = 1.8,2.2,x = 2.2,-0.37999999999999995,1.0921945288678612,-0.3840123557152529,1.1357263161058766,1.50713,1.19289,1.37358,0.13355000000000006,1.35518,-0.16229,1.0566098002510345,0.0014947160144161975,0.0015748480231400075,48690
1.2,x = 1.2,2.2,x = 2.2,-0.37999999999999995,1.0921945288678612,0.27991807502164906,0.9553996138116532,1.50713,1.19289,1.31488,0.19225000000000003,1.00329,0.1896,0.9506939852130949,0.258166906902874,0.1989469696014553,48846
2.2,x = 2.2,2.2,x = 2.2,-0.37999999999999995,1.0921945288678612,0.26528464886897696,1.0229011669595642,1.50713,1.19289,1.18584,0.3212900000000001,0.67899,0.5139,0.8080683432383248,0.2034684698019169,0.17864559356796994,49002
1.5,x = 1.5,2.2,x = 2.2,-0.37999999999999995,1.0921945288678612,-0.13417967964950037,0.8791103418118845,1.50713,1.19289,1.17859,0.32854000000000005,0.7304,0.46249,0.8205091365121898,0.09382261693389093,0.06629632260922758,49158
