z_x1,z_note,x_x1,x_note,"p(y|x,D)_mean","p(y|x,D)_std","p(y|x,z,D)_mean","p(y|x,z,D)_std","H[p(y|x,D)]",Va,Ve,kl_pyx_pyxz,kl_pyxz_pyx,api_calls
-4.6,x1 = -4.6,-4.4,x1 = -4.4,5.2700000000000005,2.9269058368484933,6.650609448364533,2.0013501295775797,2.49288,1.54019,0.95269,0.42721803259869073,0.22514763918714964,42301
-4.5,x1 = -4.5,-4.4,x1 = -4.4,5.2700000000000005,2.9269058368484933,5.7734030213245005,8.476485630125435,2.49288,2.09599,0.39688999999999997,0.62472861537171,2.645013018794965,42457
-4.4,x1 = -4.4,-4.4,x1 = -4.4,5.2700000000000005,2.9269058368484933,8.91574737164661,7.191191558754238,2.49288,1.79454,0.69834,0.6102520229891173,2.395088963246581,42613
-4.3,x1 = -4.3,-4.4,x1 = -4.4,5.2700000000000005,2.9269058368484933,6.3542745066257655,5.470734768107357,2.49288,1.91312,0.57976,0.28822644262596886,0.6899523585091538,42769
-4.7,x1 = -4.7,-4.4,x1 = -4.4,5.2700000000000005,2.9269058368484933,3.9024695931165034,2.4393763251705467,2.49288,1.75651,0.73637,0.19476635545970788,0.1386583859304933,42926
