note,action,label,regret,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
action = 0,0,0,0.6,189,2,0.53646,0.5,0.61379,0.52482,0.48756,0.025099800796022267,0.013784048752090222,0.0,0.0,0.027018512172212593,0.6619590039801113,0.5689202437604511,0.61379,0.52482,0.6226525608610629
action = 2,2,1,-0.4,190,2,0.52964,0.49376,0.59103,0.51873,0.46269,0.0,0.007745966692414834,0.10737783756436893,0.035355339059327376,0.0,0.52964,0.5324898334620741,1.1279191878218446,0.6955066952966369,0.46269
action = 4,4,0,0.6,191,2,0.51853,0.49376,0.6408,0.54965,0.51201,0.02569046515733026,0.011401754250991379,0.0,0.0,0.03301514803843836,0.6469823257866514,0.5507687712549568,0.6408,0.54965,0.6770857401921917
action = 2,2,1,-0.4,192,2,0.54307,0.48799,0.61878,0.54345,0.45683,0.0,0.011832159566199232,0.0,0.0,0.0,0.54307,0.5471507978309962,0.61878,0.54345,0.45683
action = 4,4,0,0.6,193,2,0.53069,0.48799,0.62034,0.53116,0.47583,0.0,0.018439088914585774,0.0,0.0,0.034351128074635334,0.53069,0.5801854445729289,0.62034,0.53116,0.6475856403731767
action = 2,2,1,-0.4,194,2,0.51164,0.48147,0.59229,0.53721,0.45026,0.007071067811865475,0.0,0.07134423592694787,0.045934736311423405,0.03605551275463989,0.5469953390593274,0.48147,0.9490111796347394,0.766883681557117,0.6305375637731995
action = 2,2,1,-0.4,195,2,0.51272,0.50666,0.61417,0.55435,0.43326,0.0382099463490856,0.012649110640673518,0.06899275324264137,0.0,0.0,0.7037697317454279,0.5699055532033676,0.9591337662132069,0.55435,0.43326
action = 0,0,0,0.6,196,2,0.53693,0.49381,0.63323,0.52422,0.43876,0.041352146256270664,0.01870828693386971,0.0,0.02932575659723036,0.049497474683058325,0.7436907312813533,0.5873514346693486,0.63323,0.6708487829861518,0.6862473734152916
action = 1,1,1,-0.4,197,2,0.5488,0.48132,0.61614,0.54965,0.4199,0.0,0.02846049894151541,0.0,0.0,0.0,0.5488,0.623622494707577,0.61614,0.54965,0.4199
action = 2,2,0,0.6,198,2,0.51858,0.46927,0.60458,0.51868,0.42076,0.0,0.0,0.07918333157931662,0.03714835124201342,0.0,0.51858,0.46927,1.000496657896583,0.7044217562100672,0.42076
action = 1,1,1,-0.4,199,2,0.51784,0.50005,0.62767,0.53087,0.47597,0.007745966692414834,0.03591656999213594,0.0,0.0,0.03492849839314596,0.5565698334620741,0.6796328499606796,0.62767,0.53087,0.6506124919657298
