action,label,regret,note,trial,optimal_action,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
4,0,0.6,action = 4,22,3,0.35049,0.39629,0.40151,0.41389,0.35022,0.03646916505762094,0.0,0.03492849839314596,0.033316662497915366,0.08130190649671139,0.5328358252881047,0.39629,0.5761524919657298,0.5804733124895768,0.7567295324835569
0,1,-0.4,action = 0,23,3,0.34685,0.40723,0.41176,0.40719,0.29837,0.09316651759081693,0.0,0.0,0.0,0.08105553651663777,0.8126825879540847,0.40723,0.41176,0.40719,0.7036476825831889
1,1,-0.4,action = 1,24,3,0.42563,0.43801,0.42563,0.42586,0.3387,0.0,0.03674234614174767,0.0,0.0,0.0,0.42563,0.6217217307087384,0.42563,0.42586,0.3387
3,1,-0.4,action = 3,25,3,0.4444,0.46898,0.44411,0.47503,0.356,0.0,0.02932575659723036,0.029664793948382652,0.03420526275297414,0.0,0.4444,0.6156087829861518,0.5924339697419132,0.6460563137648707,0.356
4,1,-0.4,action = 4,26,3,0.45035,0.46879,0.4564,0.48132,0.38508,0.012649110640673518,0.010488088481701515,0.01760681686165901,0.0,0.08203657720797473,0.5135955532033676,0.5212304424085076,0.544434084308295,0.48132,0.7952628860398736
3,0,0.6,action = 3,27,3,0.46265,0.48132,0.4626,0.47503,0.4565,0.00447213595499958,0.02449489742783178,0.0,0.028809720581775868,0.0,0.4850106797749979,0.603794487139159,0.4626,0.6190786029088793,0.4565
1,0,0.6,action = 1,28,3,0.48752,0.49371,0.48132,0.49376,0.44426,0.024899799195977464,0.024899799195977464,0.013038404810405298,0.011832159566199232,0.0,0.6120189959798873,0.6182089959798873,0.5465120240520265,0.5529207978309961,0.44426
4,1,-0.4,action = 4,29,3,0.46269,0.46898,0.47508,0.48132,0.46903,0.028635642126552705,0.018439088914585774,0.0412310562561766,0.013038404810405298,0.044609416046390925,0.6058682106327635,0.5611754445729289,0.6812352812808831,0.5465120240520265,0.6920770802319547
0,0,0.6,action = 0,30,3,0.48756,0.47508,0.48752,0.48756,0.48747,0.0535723809439155,0.04722287581247038,0.035637059362410926,0.03591656999213594,0.051575187832910506,0.7554219047195775,0.7111943790623518,0.6657052968120547,0.6671428499606797,0.7453459391645525
3,1,-0.4,action = 3,31,3,0.43242,0.44481,0.4564,0.47508,0.44426,0.0,0.0,0.0,0.0,0.0,0.43242,0.44481,0.4564,0.47508,0.44426
0,0,0.6,action = 0,32,3,0.46889,0.48147,0.48723,0.49986,0.51206,0.066783231428256,0.04604345773288535,0.025298221281347035,0.02569046515733026,0.047116875957558986,0.8028061571412799,0.7116872886644268,0.6137211064067352,0.6283123257866513,0.7476443797877949
0,0,0.6,action = 0,33,3,0.40761,0.43173,0.46889,0.4626,0.44411,0.021447610589527218,0.0,0.0,0.0,0.0,0.514848052947636,0.43173,0.46889,0.4626,0.44411
1,0,0.6,action = 1,34,3,0.39574,0.44416,0.46279,0.48118,0.45683,0.028106938645110394,0.057879184513951125,0.04743416490252569,0.044045431091090485,0.04959838707054898,0.536274693225552,0.7335559225697557,0.6999608245126284,0.7014071554554524,0.704821935352745
3,0,0.6,action = 3,35,3,0.38996,0.41422,0.44421,0.46274,0.43237,0.0,0.0,0.0,0.033166247903554,0.0,0.38996,0.41422,0.44421,0.6285712395177699,0.43237
3,1,-0.4,action = 3,36,3,0.38407,0.40842,0.4321,0.4382,0.40856,0.0,0.0,0.0,0.0,0.0,0.38407,0.40842,0.4321,0.4382,0.40856
0,0,0.6,action = 0,37,3,0.45087,0.45035,0.48728,0.46903,0.46903,0.09664367542679655,0.0705691150575094,0.06999999999999999,0.0282842712474619,0.073348483283569,0.9340883771339827,0.803195575287547,0.83728,0.6104513562373095,0.835772416417845
