action,label,regret,note,trial,Q_value_0,Q_value_1,Q_value_2,Q_value_3,Q_value_4,U_value_0,U_value_1,U_value_2,U_value_3,U_value_4,UCB_value_0,UCB_value_1,UCB_value_2,UCB_value_3,UCB_value_4
2,1,-0.4,action = 2,54,0.15964,0.60332,0.39755,0.63855,0.26951,0.0,0.0,0.022135943621178655,0.0,0.0,0.15964,0.60332,0.8402688724235732,0.63855,0.26951
0,1,-0.4,action = 0,55,0.22121,0.56138,0.45035,0.60951,0.32458,0.14212670403551894,0.0372827037646145,0.02683281572999748,0.03420526275297414,0.10232301793829188,3.063744080710379,1.30703407529229,0.9870063145999495,1.2936152550594828,2.3710403587658377
2,0,0.6,action = 2,56,0.28572,0.54355,0.4566,0.59817,0.30005,0.0,0.0161245154965971,0.05128352561983234,0.0,0.0,0.28572,0.866040309931942,1.4822705123966466,0.59817,0.30005
0,1,-0.4,action = 0,57,0.2943,0.53735,0.41343,0.60395,0.31625,0.02428991560298224,0.0,0.0,0.0,0.0,0.7800983120596447,0.53735,0.41343,0.60395,0.31625
2,1,-0.4,action = 2,58,0.32394,0.52487,0.42008,0.5671,0.31698,0.0,0.0,0.08438009243891595,0.0478539444560216,0.0,0.32394,0.52487,2.107681848778319,1.524178889120432,0.31698
3,0,0.6,action = 3,59,0.362,0.51848,0.43196,0.579,0.34421,0.054497706373754846,0.021447610589527218,0.0,0.053103672189407015,0.0,1.451954127475097,0.9474322117905444,0.43196,1.6410734437881402,0.34421
0,0,0.6,action = 0,60,0.36715,0.49381,0.42586,0.55574,0.35022,0.062048368229954284,0.027386127875258306,0.0,0.02949576240750525,0.0,1.6081173645990856,1.0415325575051662,0.42586,1.145655248150105,0.35022
4,1,-0.4,action = 4,61,0.34042,0.48771,0.44454,0.56129,0.3606,0.08167006795638167,0.013038404810405298,0.0,0.06587867636800242,0.10723805294763608,1.9738213591276332,0.7484780962081059,0.44454,1.8788635273600485,2.5053610589527215
1,1,-0.4,action = 1,62,0.34584,0.50619,0.46279,0.57367,0.36105,0.0,0.030331501776206204,0.028982753492378877,0.0,0.0,0.34584,1.1128200355241242,1.0424450698475776,0.57367,0.36105
4,1,-0.4,action = 4,63,0.34415,0.5436,0.46279,0.56208,0.38946,0.04604345773288535,0.0,0.039370039370059055,0.0,0.13627178724886527,1.265019154657707,0.5436,1.250190787401181,0.56208,3.1148957449773054
1,0,0.6,action = 1,64,0.35162,0.51229,0.44435,0.54256,0.35567,0.0,0.04381780460041329,0.0,0.028635642126552705,0.0,0.35162,1.388646092008266,0.44435,1.1152728425310543,0.35567
2,1,-0.4,action = 2,65,0.3562,0.51248,0.45655,0.53721,0.39072,0.0,0.009486832980505138,0.035637059362410926,0.030659419433511782,0.0,0.3562,0.7022166596101028,1.1692911872482186,1.1503983886702356,0.39072
1,1,-0.4,action = 1,66,0.37804,0.50624,0.4626,0.55546,0.41381,0.0,0.01224744871391589,0.0,0.0,0.0,0.37804,0.7511889742783178,0.4626,0.55546,0.41381
3,1,-0.4,action = 3,67,0.37374,0.52478,0.5,0.54936,0.42577,0.04230839160261236,0.020493901531919198,0.01414213562373095,0.05873670062235365,0.0,1.2199078320522472,0.934658030638384,0.782842712474619,1.7240940124470732,0.42577
0,1,-0.4,action = 0,68,0.36845,0.51848,0.49361,0.59038,0.43275,0.08136338242723197,0.019748417658131498,0.02258317958127243,0.0,0.059413803110051795,1.9957176485446393,0.9134483531626301,0.9452735916254487,0.59038,1.621026062201036
0,0,0.6,action = 0,69,0.37845,0.51229,0.49376,0.57414,0.40785,0.07389181280764466,0.051575187832910506,0.012649110640673518,0.0324037034920393,0.0,1.8562862561528932,1.5437937566582103,0.7467422128134703,1.222214069840786,0.40785
4,0,0.6,action = 4,70,0.35134,0.54317,0.48737,0.58619,0.42633,0.0,0.0,0.020248456731316585,0.0,0.03741657386773942,0.35134,0.54317,0.8923391346263317,0.58619,1.1746614773547883
4,1,-0.4,action = 4,71,0.36137,0.50629,0.48147,0.56748,0.40803,0.0161245154965971,0.037013511046643494,0.0,0.03,0.046151923036857306,0.683860309931942,1.24656022093287,0.48147,1.1674799999999999,1.3310684607371461
3,0,0.6,action = 3,72,0.38453,0.53731,0.49376,0.57437,0.4199,0.021908902300206645,0.0,0.01760681686165901,0.0403732584763727,0.0,0.8227080460041329,0.53731,0.8458963372331801,1.381835169527454,0.4199
3,0,0.6,action = 3,73,0.3779,0.50605,0.48756,0.54927,0.4261,0.0,0.027748873851023214,0.0,0.04147288270665544,0.0,0.3779,1.0610274770204642,0.48756,1.3787276541331088,0.4261
0,0,0.6,action = 0,74,0.39613,0.52959,0.49986,0.53721,0.42618,0.06884765791223403,0.0,0.04024922359499621,0.027386127875258306,0.0,1.7730831582446807,0.52959,1.3048444718999244,1.084932557505166,0.42618
4,1,-0.4,action = 4,75,0.36638,0.53027,0.48756,0.53721,0.46279,0.030659419433511782,0.0,0.044384682042344296,0.0,0.0589915248150105,0.9795683886702355,0.53027,1.375253640846886,0.53721,1.64262049630021
1,1,-0.4,action = 1,76,0.37293,0.5,0.46284,0.53106,0.45031,0.044384682042344296,0.04505552130427524,0.0,0.03391164991562634,0.0,1.260623640846886,1.4011104260855047,0.46284,1.209292998312527,0.45031
1,1,-0.4,action = 1,77,0.38964,0.55589,0.47503,0.54979,0.45655,0.034641016151377546,0.0469041575982343,0.010488088481701515,0.0,0.0,1.082460323027551,1.493973151964686,0.6847917696340303,0.54979,0.45655
3,1,-0.4,action = 3,78,0.37194,0.59775,0.47522,0.54969,0.45059,0.0,0.0,0.0,0.05329165037789691,0.03924283374069717,0.37194,0.59775,0.47522,1.6155230075579383,1.2354466748139434
2,0,0.6,action = 2,79,0.36638,0.58024,0.48756,0.59239,0.44636,0.0,0.0,0.01788854381999832,0.0,0.0,0.36638,0.58024,0.8453308763999664,0.59239,0.44636
1,0,0.6,action = 1,80,0.40278,0.55574,0.48147,0.5617,0.44495,0.04024922359499621,0.04266145801540308,0.03492849839314596,0.0,0.04679743582719036,1.2077644718999243,1.4089691603080616,1.1800399678629192,0.5617,1.3808987165438074
0,1,-0.4,action = 0,81,0.40169,0.5436,0.4565,0.54895,0.43806,0.08117881497040962,0.0,0.0,0.053758720222862454,0.03781534080237808,2.0252662994081922,0.5436,0.4565,1.6241244044572491,1.1943668160475616
1,0,0.6,action = 1,82,0.40223,0.51853,0.45645,0.5672,0.44411,0.0403732584763727,0.06212889826803627,0.0,0.04381780460041329,0.0,1.2096951695274538,1.7611079653607256,0.45645,1.443556092008266,0.44411
4,1,-0.4,action = 4,83,0.39017,0.54895,0.46898,0.57404,0.46894,0.0,0.0,0.0,0.0,0.026645825188948456,0.39017,0.54895,0.46898,0.57404,1.0018565037789693
1,0,0.6,action = 1,84,0.40761,0.52473,0.47508,0.55546,0.46265,0.021908902300206645,0.02569046515733026,0.0,0.0,0.01414213562373095,0.8457880460041329,1.0385393031466053,0.47508,0.55546,0.745492712474619
4,1,-0.4,action = 4,85,0.40232,0.52478,0.48147,0.55865,0.46898,0.0,0.0,0.02569046515733026,0.0,0.03924283374069717,0.40232,0.52478,0.9952793031466052,0.55865,1.2538366748139433
0,0,0.6,action = 0,86,0.4199,0.50624,0.46889,0.549,0.46884,0.03911521443121589,0.011832159566199232,0.0,0.0,0.0,1.2022042886243178,0.7428831913239846,0.46889,0.549,0.46884
4,0,0.6,action = 4,87,0.40151,0.51244,0.47508,0.55505,0.48127,0.0,0.012649110640673518,0.0232379000772445,0.0,0.03924283374069717,0.40151,0.7654222128134703,0.93983800154489,0.55505,1.2661266748139433
0,0,0.6,action = 0,88,0.40165,0.51239,0.45655,0.5434,0.45655,0.05128352561983234,0.025298221281347035,0.0,0.015491933384829668,0.009486832980505138,1.4273205123966468,1.0183544256269408,0.45655,0.8532386676965933,0.6462866596101028
0,1,-0.4,action = 0,89,0.37822,0.52487,0.5,0.54969,0.46265,0.09110433579144299,0.028982753492378877,0.021908902300206645,0.0,0.030822070014844882,2.2003067158288596,1.1045250698475775,0.9381780460041329,0.54969,1.0790914002968977
2,1,-0.4,action = 2,90,0.36638,0.53102,0.47508,0.5436,0.45645,0.0,0.0,0.0291547594742265,0.0,0.0,0.36638,0.53102,1.05817518948453,0.5436,0.45645
2,1,-0.4,action = 2,91,0.39574,0.50624,0.48132,0.53735,0.4564,0.0,0.007745966692414834,0.04979959839195493,0.0,0.04195235392680606,0.39574,0.6611593338482967,1.4773119678390985,0.53735,1.2954470785361212
3,0,0.6,action = 3,92,0.40169,0.48756,0.45729,0.51868,0.45031,0.0,0.0,0.0,0.033166247903554,0.0,0.40169,0.48756,0.45729,1.1820049580710799,0.45031
0,0,0.6,action = 0,93,0.41357,0.51248,0.47503,0.5374,0.4564,0.027928480087537882,0.01788854381999832,0.0,0.0,0.0,0.9721396017507576,0.8702508763999665,0.47503,0.5374,0.4564
1,0,0.6,action = 1,94,0.40223,0.50624,0.49376,0.53111,0.4626,0.03286335345030997,0.03391164991562634,0.006324555320336759,0.018439088914585774,0.0,1.0594970690061993,1.1844729983125268,0.6202511064067351,0.8998917782917155,0.4626
0,0,0.6,action = 0,95,0.40183,0.53111,0.49376,0.53121,0.47513,0.034641016151377546,0.0,0.0,0.0,0.01870828693386971,1.094650323027551,0.53111,0.49376,0.53121,0.8492957386773942
4,1,-0.4,action = 4,96,0.38589,0.49376,0.49376,0.53116,0.46884,0.04516635916254486,0.007071067811865475,0.028809720581775868,0.022360679774997897,0.05338539126015656,1.2892171832508972,0.6351813562373094,1.0699544116355173,0.978373595499958,1.536547825203131
1,0,0.6,action = 1,97,0.36938,0.50619,0.47522,0.53111,0.45655,0.0,0.012649110640673518,0.0,0.0,0.0,0.36938,0.7591722128134704,0.47522,0.53111,0.45655
2,0,0.6,action = 2,98,0.39574,0.49376,0.5,0.53698,0.46265,0.01788854381999832,0.01760681686165901,0.019748417658131498,0.0,0.0,0.7535108763999664,0.8458963372331801,0.89496835316263,0.53698,0.46265
3,1,-0.4,action = 3,99,0.3835,0.49995,0.47508,0.52487,0.46889,0.0,0.01,0.0,0.023021728866442676,0.0,0.3835,0.6999500000000001,0.47508,0.9853045773288535,0.46889
